A,1951,1961,1971,1981,1991,2001,2011
Andaman & Nicobar Islands,625,617,644,760,818,846,876
Andhra Pradesh,986,981,977,975,972,978,993
Arunachal Pradesh,-,894,861,862,859,893,938
Assam,868,869,896,910,923,935,958
Bihar,1000,1005,957,948,907,919,918
Chandigarh,781,652,749,769,790,777,818
Chhattisgarh,1024,1008,998,996,985,989,991
Dadra & Nagar Haveli,946,963,1007,974,952,812,774
Daman & Diu,1125,1169,1099,1062,968,710,618
Delhi,768,785,801,808,827,821,868
Goa,1128,1066,981,975,967,961,973
Gujarat,952,940,934,942,934,920,919
Haryana,871,868,867,870,865,861,879
Himachal Pradesh,912,938,958,973,976,968,972
Jammu & Kashmir,873,878,878,892,896,892,889
Jharkhand,961,960,945,940,922,941,948
Karnataka,966,959,957,963,960,965,973
Kerala,1028,1022,1016,1032,1036,1058,1084
Lakshadweep,1043,1020,978,975,943,948,947
Madhya Pradesh,945,932,920,921,912,919,931
Maharashtra,941,936,930,937,934,922,929
Manipur,1036,1015,980,971,958,978,992
Meghalaya,949,937,942,954,955,972,989
Mizoram,1041,1009,946,919,921,935,976
Nagaland,999,933,871,863,886,900,931
Odisha,1022,1001,988,981,971,972,979
Puducherry,1030,1013,989,985,979,1001,1037
Punjab,844,854,865,879,882,876,895
Rajasthan,921,908,911,919,910,921,928
Sikkim,907,904,863,835,878,875,890
Tamil Nadu,1007,992,978,977,974,987,996
Tripura,904,932,943,946,945,948,960
Uttar Pradesh,908,907,876,882,876,898,912
Uttarakhand,940,947,940,936,936,962,963
West Bengal,865,878,891,911,917,934,950
ALL INDIA,946,941,930,934,927,933,943
